[2025-05-24T13:19:21.612+0000][gc,init] CardTable entry size: 512
[2025-05-24T13:19:29.699+0000][gc,phases   ] GC(2)   Pre Evacuate Collection Set: 0.3ms
[2025-05-24T13:19:29.699+0000][gc,phases   ] GC(2)   Merge Heap Roots: 0.2ms
[2025-05-24T13:19:29.699+0000][gc,phases   ] GC(2)   Evacuate Collection Set: 4.0ms
[2025-05-24T13:19:29.700+0000][gc,phases   ] GC(2)   Post Evacuate Collection Set: 1.0ms
[2025-05-24T13:19:29.700+0000][gc,phases   ] GC(2)   Other: 0.3ms
[2025-05-24T13:19:29.700+0000][gc,heap     ] GC(2) Eden regions: 52->0(404)
[2025-05-24T13:19:29.700+0000][gc,heap     ] GC(2) Survivor regions: 5->6(8)
[2025-05-24T13:19:29.700+0000][gc,heap     ] GC(2) Old regions: 15->15
[2025-05-24T13:19:29.700+0000][gc,heap     ] GC(2) Humongous regions: 130->130
[2025-05-24T13:19:29.700+0000][gc,metaspace] GC(2) Metaspace: 7855K(8128K)->7855K(8128K) NonClass: 6829K(6976K)->6829K(6976K) Class: 1026K(1152K)->1026K(1152K)
[2025-05-24T13:19:29.701+0000][gc          ] GC(2) Pause Young (Normal) (G1 Evacuation Pause) 200M->150M(1024M) 7.691ms
[2025-05-24T13:19:29.701+0000][gc,cpu      ] GC(2) User=0.04s Sys=0.01s Real=0.01s
[2025-05-24T13:19:59.355+0000][gc,start    ] GC(3) Pause Young (Normal) (G1 Evacuation Pause)
[2025-05-24T13:19:59.356+0000][gc,task     ] GC(3) Using 10 workers of 10 for evacuation
[2025-05-24T13:19:59.369+0000][gc,phases   ] GC(3)   Pre Evacuate Collection Set: 0.4ms
[2025-05-24T13:19:59.369+0000][gc,phases   ] GC(3)   Merge Heap Roots: 0.2ms
[2025-05-24T13:19:59.369+0000][gc,phases   ] GC(3)   Evacuate Collection Set: 9.1ms
[2025-05-24T13:19:59.369+0000][gc,phases   ] GC(3)   Post Evacuate Collection Set: 2.6ms
[2025-05-24T13:19:59.369+0000][gc,phases   ] GC(3)   Other: 0.6ms
[2025-05-24T13:19:59.369+0000][gc,heap     ] GC(3) Eden regions: 454->0(603)
[2025-05-24T13:19:59.370+0000][gc,heap     ] GC(3) Survivor regions: 6->11(58)
[2025-05-24T13:19:59.370+0000][gc,heap     ] GC(3) Old regions: 15->15
[2025-05-24T13:19:59.370+0000][gc,heap     ] GC(3) Humongous regions: 132->130
[2025-05-24T13:19:59.370+0000][gc,metaspace] GC(3) Metaspace: 12684K(12992K)->12684K(12992K) NonClass: 11001K(11136K)->11001K(11136K) Class: 1682K(1856K)->1682K(1856K)
[2025-05-24T13:19:59.370+0000][gc          ] GC(3) Pause Young (Normal) (G1 Evacuation Pause) 606M->155M(1024M) 15.267ms
[2025-05-24T13:19:59.371+0000][gc,cpu      ] GC(3) User=0.03s Sys=0.05s Real=0.01s
[2025-05-24T13:20:39.131+0000][gc,start    ] GC(4) Pause Young (Normal) (G1 Evacuation Pause)
[2025-05-24T13:20:39.131+0000][gc,task     ] GC(4) Using 10 workers of 10 for evacuation
[2025-05-24T13:20:39.158+0000][gc,phases   ] GC(4)   Pre Evacuate Collection Set: 0.4ms
[2025-05-24T13:20:39.158+0000][gc,phases   ] GC(4)   Merge Heap Roots: 0.3ms
[2025-05-24T13:20:39.158+0000][gc,phases   ] GC(4)   Evacuate Collection Set: 23.9ms
[2025-05-24T13:20:39.159+0000][gc,phases   ] GC(4)   Post Evacuate Collection Set: 2.0ms
[2025-05-24T13:20:39.159+0000][gc,phases   ] GC(4)   Other: 0.4ms
[2025-05-24T13:20:39.159+0000][gc,heap     ] GC(4) Eden regions: 603->0(601)
[2025-05-24T13:20:39.159+0000][gc,heap     ] GC(4) Survivor regions: 11->13(77)
[2025-05-24T13:20:39.159+0000][gc,heap     ] GC(4) Old regions: 15->15
[2025-05-24T13:20:39.159+0000][gc,heap     ] GC(4) Humongous regions: 131->130
[2025-05-24T13:20:39.160+0000][gc,metaspace] GC(4) Metaspace: 14261K(14656K)->14261K(14656K) NonClass: 12491K(12672K)->12491K(12672K) Class: 1769K(1984K)->1769K(1984K)
[2025-05-24T13:20:39.160+0000][gc          ] GC(4) Pause Young (Normal) (G1 Evacuation Pause) 759M->156M(1024M) 29.442ms
[2025-05-24T13:20:39.160+0000][gc,cpu      ] GC(4) User=0.02s Sys=0.14s Real=0.03s
[2025-05-24T13:21:09.594+0000][gc,start    ] GC(5) Pause Young (Normal) (G1 Evacuation Pause)
[2025-05-24T13:21:09.594+0000][gc,task     ] GC(5) Using 10 workers of 10 for evacuation
[2025-05-24T13:21:09.603+0000][gc,phases   ] GC(5)   Pre Evacuate Collection Set: 0.5ms
[2025-05-24T13:21:09.604+0000][gc,phases   ] GC(5)   Merge Heap Roots: 0.3ms
[2025-05-24T13:21:09.604+0000][gc,phases   ] GC(5)   Evacuate Collection Set: 6.1ms
[2025-05-24T13:21:09.604+0000][gc,phases   ] GC(5)   Post Evacuate Collection Set: 1.6ms
[2025-05-24T13:21:09.605+0000][gc,phases   ] GC(5)   Other: 0.5ms
[2025-05-24T13:21:09.605+0000][gc,heap     ] GC(5) Eden regions: 601->0(601)
[2025-05-24T13:21:09.605+0000][gc,heap     ] GC(5) Survivor regions: 13->13(77)
[2025-05-24T13:21:09.605+0000][gc,heap     ] GC(5) Old regions: 15->15
[2025-05-24T13:21:09.605+0000][gc,heap     ] GC(5) Humongous regions: 131->130
[2025-05-24T13:21:09.606+0000][gc,metaspace] GC(5) Metaspace: 14666K(15040K)->14666K(15040K) NonClass: 12888K(13056K)->12888K(13056K) Class: 1778K(1984K)->1778K(1984K)
[2025-05-24T13:21:09.606+0000][gc          ] GC(5) Pause Young (Normal) (G1 Evacuation Pause) 758M->157M(1024M) 12.054ms
[2025-05-24T13:21:09.606+0000][gc,cpu      ] GC(5) User=0.05s Sys=0.01s Real=0.01s
[2025-05-24T13:21:49.250+0000][gc,start    ] GC(6) Pause Young (Normal) (G1 Evacuation Pause)
[2025-05-24T13:21:49.251+0000][gc,task     ] GC(6) Using 10 workers of 10 for evacuation
[2025-05-24T13:21:49.260+0000][gc,phases   ] GC(6)   Pre Evacuate Collection Set: 0.3ms
[2025-05-24T13:21:49.261+0000][gc,phases   ] GC(6)   Merge Heap Roots: 0.1ms
[2025-05-24T13:21:49.261+0000][gc,phases   ] GC(6)   Evacuate Collection Set: 7.0ms
[2025-05-24T13:21:49.261+0000][gc,phases   ] GC(6)   Post Evacuate Collection Set: 1.8ms
[2025-05-24T13:21:49.261+0000][gc,phases   ] GC(6)   Other: 0.4ms
[2025-05-24T13:21:49.262+0000][gc,heap     ] GC(6) Eden regions: 601->0(601)
[2025-05-24T13:21:49.262+0000][gc,heap     ] GC(6) Survivor regions: 13->13(77)
[2025-05-24T13:21:49.262+0000][gc,heap     ] GC(6) Old regions: 15->15
[2025-05-24T13:21:49.263+0000][gc,heap     ] GC(6) Humongous regions: 130->130
[2025-05-24T13:21:49.263+0000][gc,metaspace] GC(6) Metaspace: 14827K(15232K)->14827K(15232K) NonClass: 13048K(13248K)->13048K(13248K) Class: 1778K(1984K)->1778K(1984K)
[2025-05-24T13:21:49.263+0000][gc          ] GC(6) Pause Young (Normal) (G1 Evacuation Pause) 758M->157M(1024M) 12.798ms
[2025-05-24T13:21:49.264+0000][gc,cpu      ] GC(6) User=0.04s Sys=0.00s Real=0.01s
[2025-05-24T13:22:19.975+0000][gc,start    ] GC(7) Pause Young (Normal) (G1 Evacuation Pause)
[2025-05-24T13:22:19.976+0000][gc,task     ] GC(7) Using 10 workers of 10 for evacuation
[2025-05-24T13:22:19.995+0000][gc,phases   ] GC(7)   Pre Evacuate Collection Set: 0.7ms
[2025-05-24T13:22:19.995+0000][gc,phases   ] GC(7)   Merge Heap Roots: 0.4ms
[2025-05-24T13:22:19.995+0000][gc,phases   ] GC(7)   Evacuate Collection Set: 14.6ms
[2025-05-24T13:22:19.996+0000][gc,phases   ] GC(7)   Post Evacuate Collection Set: 2.1ms
[2025-05-24T13:22:19.996+0000][gc,phases   ] GC(7)   Other: 0.8ms
[2025-05-24T13:22:19.996+0000][gc,heap     ] GC(7) Eden regions: 601->0(596)
[2025-05-24T13:22:19.997+0000][gc,heap     ] GC(7) Survivor regions: 13->18(77)
[2025-05-24T13:22:19.997+0000][gc,heap     ] GC(7) Old regions: 15->15
[2025-05-24T13:22:19.997+0000][gc,heap     ] GC(7) Humongous regions: 130->130
[2025-05-24T13:22:19.997+0000][gc,metaspace] GC(7) Metaspace: 15083K(15488K)->15083K(15488K) NonClass: 13294K(13504K)->13294K(13504K) Class: 1788K(1984K)->1788K(1984K)
[2025-05-24T13:22:19.998+0000][gc          ] GC(7) Pause Young (Normal) (G1 Evacuation Pause) 758M->161M(1024M) 22.238ms
[2025-05-24T13:22:19.998+0000][gc,cpu      ] GC(7) User=0.04s Sys=0.07s Real=0.02s
[2025-05-24T13:22:59.473+0000][gc,start    ] GC(8) Pause Young (Normal) (G1 Evacuation Pause)
[2025-05-24T13:22:59.473+0000][gc,task     ] GC(8) Using 10 workers of 10 for evacuation
[2025-05-24T13:22:59.488+0000][gc,phases   ] GC(8)   Pre Evacuate Collection Set: 0.5ms
[2025-05-24T13:22:59.488+0000][gc,phases   ] GC(8)   Merge Heap Roots: 0.2ms
[2025-05-24T13:22:59.489+0000][gc,phases   ] GC(8)   Evacuate Collection Set: 10.4ms
[2025-05-24T13:22:59.489+0000][gc,phases   ] GC(8)   Post Evacuate Collection Set: 2.9ms
[2025-05-24T13:22:59.490+0000][gc,phases   ] GC(8)   Other: 0.8ms
[2025-05-24T13:22:59.490+0000][gc,heap     ] GC(8) Eden regions: 596->0(597)
[2025-05-24T13:22:59.490+0000][gc,heap     ] GC(8) Survivor regions: 18->17(77)
[2025-05-24T13:22:59.490+0000][gc,heap     ] GC(8) Old regions: 15->15
[2025-05-24T13:22:59.491+0000][gc,heap     ] GC(8) Humongous regions: 130->130
[2025-05-24T13:22:59.491+0000][gc,metaspace] GC(8) Metaspace: 15409K(15808K)->15409K(15808K) NonClass: 13570K(13760K)->13570K(13760K) Class: 1838K(2048K)->1838K(2048K)
[2025-05-24T13:22:59.491+0000][gc          ] GC(8) Pause Young (Normal) (G1 Evacuation Pause) 757M->160M(1024M) 18.787ms
[2025-05-24T13:22:59.492+0000][gc,cpu      ] GC(8) User=0.09s Sys=0.00s Real=0.02s
[2025-05-24T13:23:39.146+0000][gc,start    ] GC(9) Pause Young (Normal) (G1 Evacuation Pause)
[2025-05-24T13:23:39.146+0000][gc,task     ] GC(9) Using 10 workers of 10 for evacuation
[2025-05-24T13:23:39.153+0000][gc,phases   ] GC(9)   Pre Evacuate Collection Set: 0.5ms
[2025-05-24T13:23:39.154+0000][gc,phases   ] GC(9)   Merge Heap Roots: 0.3ms
[2025-05-24T13:23:39.154+0000][gc,phases   ] GC(9)   Evacuate Collection Set: 4.6ms
[2025-05-24T13:23:39.154+0000][gc,phases   ] GC(9)   Post Evacuate Collection Set: 1.4ms
[2025-05-24T13:23:39.154+0000][gc,phases   ] GC(9)   Other: 0.3ms
[2025-05-24T13:23:39.155+0000][gc,heap     ] GC(9) Eden regions: 597->0(601)
[2025-05-24T13:23:39.155+0000][gc,heap     ] GC(9) Survivor regions: 17->13(77)
[2025-05-24T13:23:39.155+0000][gc,heap     ] GC(9) Old regions: 15->15
[2025-05-24T13:23:39.155+0000][gc,heap     ] GC(9) Humongous regions: 130->130
[2025-05-24T13:23:39.155+0000][gc,metaspace] GC(9) Metaspace: 15565K(16000K)->15565K(16000K) NonClass: 13705K(13952K)->13705K(13952K) Class: 1859K(2048K)->1859K(2048K)
[2025-05-24T13:23:39.155+0000][gc          ] GC(9) Pause Young (Normal) (G1 Evacuation Pause) 757M->157M(1024M) 9.337ms
[2025-05-24T13:23:39.156+0000][gc,cpu      ] GC(9) User=0.04s Sys=0.00s Real=0.01s
[2025-05-24T13:24:09.701+0000][gc,start    ] GC(10) Pause Young (Normal) (G1 Evacuation Pause)
[2025-05-24T13:24:09.701+0000][gc,task     ] GC(10) Using 10 workers of 10 for evacuation
[2025-05-24T13:24:09.708+0000][gc,phases   ] GC(10)   Pre Evacuate Collection Set: 0.3ms
[2025-05-24T13:24:09.709+0000][gc,phases   ] GC(10)   Merge Heap Roots: 0.2ms
[2025-05-24T13:24:09.709+0000][gc,phases   ] GC(10)   Evacuate Collection Set: 5.1ms
[2025-05-24T13:24:09.709+0000][gc,phases   ] GC(10)   Post Evacuate Collection Set: 1.5ms
[2025-05-24T13:24:09.709+0000][gc,phases   ] GC(10)   Other: 0.3ms
[2025-05-24T13:24:09.709+0000][gc,heap     ] GC(10) Eden regions: 601->0(598)
[2025-05-24T13:24:09.709+0000][gc,heap     ] GC(10) Survivor regions: 13->16(77)
[2025-05-24T13:24:09.710+0000][gc,heap     ] GC(10) Old regions: 15->15
[2025-05-24T13:24:09.710+0000][gc,heap     ] GC(10) Humongous regions: 130->130
[2025-05-24T13:24:09.710+0000][gc,metaspace] GC(10) Metaspace: 15614K(16000K)->15614K(16000K) NonClass: 13753K(13952K)->13753K(13952K) Class: 1861K(2048K)->1861K(2048K)
[2025-05-24T13:24:09.710+0000][gc          ] GC(10) Pause Young (Normal) (G1 Evacuation Pause) 758M->159M(1024M) 9.608ms
[2025-05-24T13:24:09.710+0000][gc,cpu      ] GC(10) User=0.02s Sys=0.02s Real=0.01s
[2025-05-24T13:24:49.452+0000][gc,start    ] GC(11) Pause Young (Normal) (G1 Evacuation Pause)
[2025-05-24T13:24:49.452+0000][gc,task     ] GC(11) Using 10 workers of 10 for evacuation
[2025-05-24T13:24:49.463+0000][gc,phases   ] GC(11)   Pre Evacuate Collection Set: 1.1ms
[2025-05-24T13:24:49.463+0000][gc,phases   ] GC(11)   Merge Heap Roots: 0.3ms
[2025-05-24T13:24:49.463+0000][gc,phases   ] GC(11)   Evacuate Collection Set: 6.6ms
[2025-05-24T13:24:49.463+0000][gc,phases   ] GC(11)   Post Evacuate Collection Set: 1.9ms
[2025-05-24T13:24:49.464+0000][gc,phases   ] GC(11)   Other: 0.6ms
[2025-05-24T13:24:49.464+0000][gc,heap     ] GC(11) Eden regions: 598->0(598)
[2025-05-24T13:24:49.465+0000][gc,heap     ] GC(11) Survivor regions: 16->16(77)
[2025-05-24T13:24:49.465+0000][gc,heap     ] GC(11) Old regions: 15->15
[2025-05-24T13:24:49.465+0000][gc,heap     ] GC(11) Humongous regions: 130->130
[2025-05-24T13:24:49.465+0000][gc,metaspace] GC(11) Metaspace: 15667K(16000K)->15667K(16000K) NonClass: 13803K(13952K)->13803K(13952K) Class: 1863K(2048K)->1863K(2048K)
[2025-05-24T13:24:49.466+0000][gc          ] GC(11) Pause Young (Normal) (G1 Evacuation Pause) 757M->159M(1024M) 13.743ms
[2025-05-24T13:24:49.466+0000][gc,cpu      ] GC(11) User=0.05s Sys=0.00s Real=0.01s
[2025-05-24T13:25:29.169+0000][gc,start    ] GC(12) Pause Young (Normal) (G1 Evacuation Pause)
[2025-05-24T13:25:29.169+0000][gc,task     ] GC(12) Using 10 workers of 10 for evacuation
[2025-05-24T13:25:29.179+0000][gc,phases   ] GC(12)   Pre Evacuate Collection Set: 0.3ms
[2025-05-24T13:25:29.180+0000][gc,phases   ] GC(12)   Merge Heap Roots: 0.2ms
[2025-05-24T13:25:29.180+0000][gc,phases   ] GC(12)   Evacuate Collection Set: 6.4ms
[2025-05-24T13:25:29.180+0000][gc,phases   ] GC(12)   Post Evacuate Collection Set: 3.2ms
[2025-05-24T13:25:29.180+0000][gc,phases   ] GC(12)   Other: 0.3ms
[2025-05-24T13:25:29.180+0000][gc,heap     ] GC(12) Eden regions: 598->0(599)
[2025-05-24T13:25:29.181+0000][gc,heap     ] GC(12) Survivor regions: 16->15(77)
[2025-05-24T13:25:29.181+0000][gc,heap     ] GC(12) Old regions: 15->15
[2025-05-24T13:25:29.181+0000][gc,heap     ] GC(12) Humongous regions: 130->130
[2025-05-24T13:25:29.181+0000][gc,metaspace] GC(12) Metaspace: 15678K(16000K)->15678K(16000K) NonClass: 13815K(13952K)->13815K(13952K) Class: 1863K(2048K)->1863K(2048K)
[2025-05-24T13:25:29.181+0000][gc          ] GC(12) Pause Young (Normal) (G1 Evacuation Pause) 757M->159M(1024M) 12.724ms
[2025-05-24T13:25:29.182+0000][gc,cpu      ] GC(12) User=0.06s Sys=0.00s Real=0.01s
[2025-05-24T13:25:59.705+0000][gc,start    ] GC(13) Pause Young (Normal) (G1 Evacuation Pause)
[2025-05-24T13:25:59.705+0000][gc,task     ] GC(13) Using 10 workers of 10 for evacuation
[2025-05-24T13:25:59.716+0000][gc,phases   ] GC(13)   Pre Evacuate Collection Set: 0.5ms
[2025-05-24T13:25:59.716+0000][gc,phases   ] GC(13)   Merge Heap Roots: 0.2ms
[2025-05-24T13:25:59.716+0000][gc,phases   ] GC(13)   Evacuate Collection Set: 7.3ms
[2025-05-24T13:25:59.716+0000][gc,phases   ] GC(13)   Post Evacuate Collection Set: 2.3ms
[2025-05-24T13:25:59.716+0000][gc,phases   ] GC(13)   Other: 0.4ms
[2025-05-24T13:25:59.717+0000][gc,heap     ] GC(13) Eden regions: 599->0(596)
[2025-05-24T13:25:59.717+0000][gc,heap     ] GC(13) Survivor regions: 15->18(77)
[2025-05-24T13:25:59.717+0000][gc,heap     ] GC(13) Old regions: 15->15
[2025-05-24T13:25:59.717+0000][gc,heap     ] GC(13) Humongous regions: 130->130
[2025-05-24T13:25:59.718+0000][gc,metaspace] GC(13) Metaspace: 15696K(16128K)->15696K(16128K) NonClass: 13832K(14080K)->13832K(14080K) Class: 1863K(2048K)->1863K(2048K)
[2025-05-24T13:25:59.718+0000][gc          ] GC(13) Pause Young (Normal) (G1 Evacuation Pause) 758M->162M(1024M) 13.247ms
[2025-05-24T13:25:59.718+0000][gc,cpu      ] GC(13) User=0.03s Sys=0.04s Real=0.02s
[2025-05-24T13:26:39.505+0000][gc,start    ] GC(14) Pause Young (Normal) (G1 Evacuation Pause)
[2025-05-24T13:26:39.505+0000][gc,task     ] GC(14) Using 10 workers of 10 for evacuation
[2025-05-24T13:26:39.520+0000][gc,phases   ] GC(14)   Pre Evacuate Collection Set: 0.5ms
[2025-05-24T13:26:39.521+0000][gc,phases   ] GC(14)   Merge Heap Roots: 0.3ms
[2025-05-24T13:26:39.521+0000][gc,phases   ] GC(14)   Evacuate Collection Set: 10.1ms
[2025-05-24T13:26:39.521+0000][gc,phases   ] GC(14)   Post Evacuate Collection Set: 3.6ms
[2025-05-24T13:26:39.522+0000][gc,phases   ] GC(14)   Other: 0.4ms
[2025-05-24T13:26:39.523+0000][gc,heap     ] GC(14) Eden regions: 596->0(600)
[2025-05-24T13:26:39.523+0000][gc,heap     ] GC(14) Survivor regions: 18->14(77)
[2025-05-24T13:26:39.523+0000][gc,heap     ] GC(14) Old regions: 15->15
[2025-05-24T13:26:39.523+0000][gc,heap     ] GC(14) Humongous regions: 130->130
[2025-05-24T13:26:39.524+0000][gc,metaspace] GC(14) Metaspace: 15753K(16192K)->15753K(16192K) NonClass: 13886K(14080K)->13886K(14080K) Class: 1866K(2112K)->1866K(2112K)
[2025-05-24T13:26:39.524+0000][gc          ] GC(14) Pause Young (Normal) (G1 Evacuation Pause) 758M->158M(1024M) 19.143ms
[2025-05-24T13:26:39.525+0000][gc,cpu      ] GC(14) User=0.06s Sys=0.00s Real=0.02s
[2025-05-24T13:27:19.186+0000][gc,start    ] GC(15) Pause Young (Normal) (G1 Evacuation Pause)
[2025-05-24T13:27:19.187+0000][gc,task     ] GC(15) Using 10 workers of 10 for evacuation
[2025-05-24T13:27:19.198+0000][gc,phases   ] GC(15)   Pre Evacuate Collection Set: 0.4ms
[2025-05-24T13:27:19.198+0000][gc,phases   ] GC(15)   Merge Heap Roots: 0.3ms
[2025-05-24T13:27:19.198+0000][gc,phases   ] GC(15)   Evacuate Collection Set: 8.0ms
[2025-05-24T13:27:19.199+0000][gc,phases   ] GC(15)   Post Evacuate Collection Set: 1.8ms
[2025-05-24T13:27:19.199+0000][gc,phases   ] GC(15)   Other: 0.4ms
[2025-05-24T13:27:19.199+0000][gc,heap     ] GC(15) Eden regions: 600->0(600)
[2025-05-24T13:27:19.199+0000][gc,heap     ] GC(15) Survivor regions: 14->14(77)
[2025-05-24T13:27:19.200+0000][gc,heap     ] GC(15) Old regions: 15->15
[2025-05-24T13:27:19.200+0000][gc,heap     ] GC(15) Humongous regions: 130->130
[2025-05-24T13:27:19.200+0000][gc,metaspace] GC(15) Metaspace: 15775K(16192K)->15775K(16192K) NonClass: 13908K(14080K)->13908K(14080K) Class: 1866K(2112K)->1866K(2112K)
[2025-05-24T13:27:19.200+0000][gc          ] GC(15) Pause Young (Normal) (G1 Evacuation Pause) 758M->158M(1024M) 14.036ms
[2025-05-24T13:27:19.201+0000][gc,cpu      ] GC(15) User=0.04s Sys=0.02s Real=0.01s
[2025-05-24T13:27:49.683+0000][gc,start    ] GC(16) Pause Young (Normal) (G1 Evacuation Pause)
[2025-05-24T13:27:49.684+0000][gc,task     ] GC(16) Using 10 workers of 10 for evacuation
[2025-05-24T13:27:49.695+0000][gc,phases   ] GC(16)   Pre Evacuate Collection Set: 0.4ms
[2025-05-24T13:27:49.695+0000][gc,phases   ] GC(16)   Merge Heap Roots: 0.3ms
[2025-05-24T13:27:49.695+0000][gc,phases   ] GC(16)   Evacuate Collection Set: 8.2ms
[2025-05-24T13:27:49.695+0000][gc,phases   ] GC(16)   Post Evacuate Collection Set: 1.8ms
[2025-05-24T13:27:49.696+0000][gc,phases   ] GC(16)   Other: 0.4ms
[2025-05-24T13:27:49.696+0000][gc,heap     ] GC(16) Eden regions: 600->0(599)
[2025-05-24T13:27:49.696+0000][gc,heap     ] GC(16) Survivor regions: 14->15(77)
[2025-05-24T13:27:49.696+0000][gc,heap     ] GC(16) Old regions: 15->18
[2025-05-24T13:27:49.696+0000][gc,heap     ] GC(16) Humongous regions: 130->130
[2025-05-24T13:27:49.696+0000][gc,metaspace] GC(16) Metaspace: 15814K(16256K)->15814K(16256K) NonClass: 13947K(14144K)->13947K(14144K) Class: 1866K(2112K)->1866K(2112K)
[2025-05-24T13:27:49.697+0000][gc          ] GC(16) Pause Young (Normal) (G1 Evacuation Pause) 758M->161M(1024M) 13.403ms
[2025-05-24T13:27:49.697+0000][gc,cpu      ] GC(16) User=0.07s Sys=0.02s Real=0.01s
[2025-05-24T13:28:29.606+0000][gc,start    ] GC(17) Pause Young (Normal) (G1 Evacuation Pause)
[2025-05-24T13:28:29.607+0000][gc,task     ] GC(17) Using 10 workers of 10 for evacuation
[2025-05-24T13:28:29.618+0000][gc,phases   ] GC(17)   Pre Evacuate Collection Set: 0.6ms
